market,symbol,phase,pip_or_tick_size,signal_atr_mult,recent_signal_lookback,abs_close_ema200_atr_max,trade_rsi_min,trade_rsi_max,trades,wins,losses,win_rate_pct,profit_factor,avg_pips
forex,AUDUSD,mean_reversion,0.0001,1.5,10,2.0,,,214,161,53,75.23364485981308,1.4210308487914756,2.901667289719646
forex,AUDUSD,mean_reversion,0.0001,1.5,6,2.0,-0.1,0.25,191,146,45,76.43979057591623,1.4178971242713465,2.89634607329844
forex,AUDUSD,mean_reversion,0.0001,2.0,10,,0.0,0.15,99,77,22,77.77777777777779,1.4164281810726638,3.8376767676768178
forex,AUDUSD,mean_reversion,0.0001,1.5,24,,-0.05,0.15,140,113,27,80.71428571428572,1.415752135382015,4.147772857142866
forex,AUDUSD,mean_reversion,0.0001,2.5,24,,,,283,200,83,70.6713780918728,1.4118664643711107,3.6801787985865455
forex,AUDUSD,mean_reversion,0.0001,2.0,24,1.0,0.0,0.15,46,37,9,80.43478260869566,1.4112330194020628,2.4820630434781945
forex,AUDUSD,mean_reversion,0.0001,2.0,16,1.0,-0.05,0.15,57,46,11,80.7017543859649,1.40807168885166,2.4601754385964543
forex,AUDUSD,mean_reversion,0.0001,1.5,10,2.0,-0.2,0.4,212,159,53,75.0,1.4045524805358036,2.8144042452830416
forex,AUDUSD,mean_reversion,0.0001,2.5,16,3.0,-0.1,0.1,44,37,7,84.0909090909091,1.4033198141658634,3.7901704545454593
forex,AUDUSD,mean_reversion,0.0001,1.5,16,0.75,-0.1,0.25,84,67,17,79.76190476190477,1.4014892231950806,2.229819047619127
forex,AUDUSD,mean_reversion,0.0001,1.5,10,,-0.2,0.4,315,235,80,74.60317460317461,1.3973085072215432,3.710354920634927
forex,AUDUSD,mean_reversion,0.0001,1.5,10,2.0,-0.1,0.25,185,141,44,76.21621621621621,1.396381660956821,2.797404864864876
forex,AUDUSD,mean_reversion,0.0001,1.5,16,,-0.2,0.4,301,223,78,74.08637873754152,1.39454766789381,3.7985003322259265
forex,AUDUSD,mean_reversion,0.0001,2.0,6,2.0,-0.1,0.25,158,122,36,77.21518987341773,1.394277518131142,2.9084063291138813
