market,symbol,phase,pip_or_tick_size,entry_rank,signal_atr_mult,recent_signal_lookback,abs_close_ema200_atr_max,trade_rsi_min,trade_rsi_max,tp_units,sl_units,trades,wins,losses,win_rate_pct,profit_factor,avg_pips,signal_exit_trades,signal_exit_win_rate_pct,signal_exit_profit_factor,signal_exit_avg_pips
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,1,200,113,108,5,95.57522123893806,0.8719958531752681,-0.14029911504425774,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,2,1,113,33,80,29.20353982300885,0.825,-0.12389380530973451,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,2,2,113,50,63,44.24778761061947,0.7936507936507936,-0.23008849557522124,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,2,3,113,62,51,54.86725663716814,0.8104575163398693,-0.25663716814159293,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,2,4,113,66,47,58.4070796460177,0.7021276595744681,-0.49557522123893805,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,2,5,113,75,38,66.3716814159292,0.7894736842105263,-0.35398230088495575,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,2,8,113,90,23,79.64601769911505,0.9728271739130423,-0.04424601769911694,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,2,10,113,94,19,83.1858407079646,0.9842115789473672,-0.026546902654869146,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,2,20,113,102,11,90.2654867256637,0.9227281818181808,-0.15044070796460374,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,2,50,113,107,6,94.69026548672566,0.710000666666666,-0.7699097345132763,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,2,100,113,108,5,95.57522123893806,1.1137638812407578,0.1943442477876024,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,2,200,113,108,5,95.57522123893806,1.735919285480121,0.8066053097345014,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,3,1,113,31,82,27.43362831858407,1.1158487804878054,0.08406725663716855,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,3,2,113,44,69,38.93805309734513,0.9456492753623191,-0.06637522123893767,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,3,3,113,55,58,48.67256637168141,0.9396528735632187,-0.09292389380530935,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,3,4,113,61,52,53.98230088495575,0.8725942307692309,-0.23451681415929165,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,3,5,113,69,44,61.06194690265486,0.9340890909090911,-0.12832212389380493,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,3,8,113,82,31,72.56637168141593,0.9778217741935477,-0.04867433628318741,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,3,10,113,86,27,76.10619469026548,0.9425918518518512,-0.13716991150442634,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,3,20,113,97,16,85.84070796460178,0.8984368749999995,-0.2876123893805325,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,3,50,113,104,9,92.03539823008849,0.7664593208594574,-0.8318592920354028,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,3,100,113,105,8,92.92035398230088,0.9871993595718281,-0.03574424778761808,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,3,200,113,105,8,92.92035398230088,0.8993698343945774,-0.3084389380531084,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,4,1,113,26,87,23.008849557522122,1.1666620689655178,0.128315044247788,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,4,2,113,37,76,32.743362831858406,0.9572342105263161,-0.05752566371681377,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,4,3,113,47,66,41.5929203539823,0.9368666666666668,-0.11062300884955714,113,83.1858407079646,2.350209907333294,5.875692920354001
forex,AUDUSD,mean_reversion,0.0001,1,1.5,6,1.5,-0.05,0.15,4,4,113,53,60,46.902654867256636,0.8729150000000002,-0.26991504424778723,113,83.1858407079646,2.350209907333294,5.875692920354001
