market,symbol,phase,pip_or_tick_size,round_trip_cost_units,median_atr_units,min_exit_units,max_exit_ratio,signal_atr_mult,recent_signal_lookback,abs_close_ema200_atr_max,trade_rsi_min,trade_rsi_max,tp_units,sl_units,signal_exit_trades,signal_exit_wins,signal_exit_losses,signal_exit_win_rate_pct,signal_exit_profit_factor,signal_exit_avg_pips,trades,wins,losses,win_rate_pct,profit_factor,avg_pips,profit_factor_delta_vs_signal_exit,win_rate_delta_vs_signal_exit
futures,SI,mean_reversion,0.005,2.0,15.323750504579552,6,4.0,2.5,6,1.0,-0.05,0.15,200,500,31,25,6,80.64516129032258,12.350877192982368,20.870967741935424,31,25,6,80.64516129032258,12.350877192982368,20.870967741935424,0.0,0.0
futures,SI,momentum,0.005,2.0,15.732874467556183,6,4.0,3.0,6,2.0,,,500,500,68,53,15,77.94117647058823,2.3534439416792363,39.58823529411765,68,53,15,77.94117647058823,2.2609970674486797,37.94117647058824,-0.09244687423055664,0.0
futures,YM,mean_reversion,1.0,2.0,40.807973055142476,11,4.0,2.0,24,1.5,-0.1,0.1,500,500,30,28,2,93.33333333333333,5.113970588235294,111.9,30,28,2,93.33333333333333,4.399402390438247,113.76666666666667,-0.7145681977970471,0.0
futures,YM,momentum,1.0,2.0,38.08300664075993,10,4.0,1.5,16,0.75,,,300,500,68,63,5,92.64705882352942,8.032325338894681,99.17647058823529,68,62,6,91.17647058823529,3.9710796915167097,67.98529411764706,-4.061245647377971,-1.4705882352941302
futures,ZB,mean_reversion,0.03125,2.0,3.1905138682504885,6,4.0,2.5,6,0.75,-0.1,0.25,15,50,32,25,7,78.125,5.791666666666667,3.59375,32,25,7,78.125,6.25,3.9375,0.45833333333333304,0.0
futures,ZB,momentum,0.03125,2.0,3.3317412049781217,6,4.0,3.0,24,1.0,,,30,75,45,38,7,84.44444444444444,6.733333333333333,9.555555555555555,45,38,7,84.44444444444444,6.96,9.933333333333334,0.22666666666666657,0.0
futures,ZN,mean_reversion,0.015625,2.0,3.4462522603057475,6,4.0,2.5,6,0.75,-0.1,0.25,15,50,41,37,4,90.2439024390244,15.875,5.804878048780488,41,37,4,90.2439024390244,16.5625,6.073170731707317,0.6875,0.0
futures,ZN,momentum,0.015625,2.0,3.3430448969993134,6,4.0,2.0,10,1.0,,,50,150,77,58,19,75.32467532467533,2.3660714285714284,3.9740259740259742,77,58,19,75.32467532467533,2.3660714285714284,3.9740259740259742,0.0,0.0
gold_spot,XAUUSD,mean_reversion,0.01,10.0,365.7218099678869,92,4.0,2.0,16,0.75,0.0,0.15,1097,300,37,36,1,97.2972972972973,5.447607157719499,722.1351351351311,37,21,16,56.75675675675676,2.9867943548387212,266.3378378378394,-2.460812802880778,-40.54054054054055
gold_spot,XAUUSD,momentum,0.01,10.0,344.1247110651553,87,4.0,2.0,16,,,,1032,300,396,281,115,70.95959595959596,1.2699648310701266,166.12449494949374,396,121,275,30.555555555555557,1.1838240469208228,39.57323232323269,-0.08614078414930382,-40.4040404040404
