market,symbol,phase,side,signal_index,entry_index,exit_index,signal_time,entry_time,exit_time,entry_price,exit_price,gross_units,net_units,r_multiple,tp_units,sl_units,cost_units,exit_reason,bars_held,prior_180d_trades,prior_180d_profit_factor_r,prior_180d_total_r
forex,AUDUSD,momentum,short,25291,25292,25386,2024-11-06 15:15:00+00:00,2024-11-06 15:30:00+00:00,2024-11-07 15:00:00+00:00,0.65794998,0.66794998,-100.0,-102.0,-1.0,150,100,2.0,sl,94,58,2.5915613494748007,5.367626470588261
futures,NQ,momentum,long,24558,24559,24589,2024-11-12 10:00:00+00:00,2024-11-12 10:15:00+00:00,2024-11-12 17:45:00+00:00,21168.0,21084.5,-334.0,-337.0,-1.0,500,334,3.0,sl,30,59,1.4151984965938453,10.489614243323441
futures,NQ,momentum,short,24594,24595,24670,2024-11-12 19:00:00+00:00,2024-11-12 19:15:00+00:00,2024-11-13 15:00:00+00:00,21184.75,21140.75,176.0,173.0,0.5133531157270029,500,334,3.0,signal,75,60,1.361315105637781,9.489614243323441
futures,NQ,momentum,short,24678,24679,24761,2024-11-13 17:00:00+00:00,2024-11-13 17:15:00+00:00,2024-11-14 14:45:00+00:00,21195.75,21082.5,453.0,450.0,1.3353115727002969,500,334,3.0,signal,82,60,1.4355179704016912,11.002967359050444
futures,NQ,momentum,short,25152,25153,25166,2024-11-20 20:30:00+00:00,2024-11-20 20:45:00+00:00,2024-11-21 01:00:00+00:00,20711.5,20650.75,243.0,240.0,0.712166172106825,500,334,3.0,signal,13,58,1.4661127596439167,11.652818991097924
futures,NQ,momentum,long,25220,25221,25222,2024-11-21 14:30:00+00:00,2024-11-21 14:45:00+00:00,2024-11-21 15:00:00+00:00,20695.25,20611.75,-334.0,-337.0,-1.0,500,334,3.0,sl,1,59,1.4945994065281898,12.364985163204748
futures,NQ,momentum,long,25291,25292,25312,2024-11-22 09:15:00+00:00,2024-11-22 09:30:00+00:00,2024-11-22 14:30:00+00:00,20726.25,20851.25,500.0,497.0,1.4747774480712166,500,334,3.0,tp,20,60,1.4371148139694132,11.364985163204748
futures,NQ,momentum,long,25406,25407,25415,2024-11-25 15:00:00+00:00,2024-11-25 15:15:00+00:00,2024-11-25 17:15:00+00:00,20894.0,20810.5,-334.0,-337.0,-1.0,500,334,3.0,sl,8,60,1.463821045423419,12.059347181008903
forex,NZDUSD,momentum,long,26810,26811,26857,2024-11-28 12:15:00+00:00,2024-11-28 12:30:00+00:00,2024-11-29 00:00:00+00:00,0.58880001,0.58960003,8.000200000000124,6.000200000000124,0.2727363636363693,75,20,2.0,signal,46,106,1.3057068576587723,7.795531818181818
futures,NQ,momentum,short,25706,25707,25753,2024-11-29 02:00:00+00:00,2024-11-29 02:15:00+00:00,2024-11-29 13:45:00+00:00,20891.5,20820.25,285.0,282.0,0.8367952522255193,500,334,3.0,signal,46,60,1.354984064182877,9.584569732937686
forex,NZDUSD,momentum,short,26980,26981,27006,2024-12-02 06:45:00+00:00,2024-12-02 07:00:00+00:00,2024-12-02 13:15:00+00:00,0.59069997,0.58875,19.499699999999677,17.499699999999674,0.7954409090908943,75,20,2.0,signal,25,106,1.3092715603640281,7.886431818181813
forex,NZDUSD,momentum,short,27243,27244,27304,2024-12-05 00:30:00+00:00,2024-12-05 00:45:00+00:00,2024-12-05 15:45:00+00:00,0.58625001,0.58600003,2.49979999999983,0.4997999999998299,0.022718181818174,75,20,2.0,signal,60,105,1.325582356366409,8.272759090909124
forex,NZDUSD,momentum,long,27343,27344,27350,2024-12-06 01:30:00+00:00,2024-12-06 01:45:00+00:00,2024-12-06 03:15:00+00:00,0.5869,0.58749998,5.999800000000555,3.9998000000005542,0.1818090909091161,75,20,2.0,signal,6,106,1.3264764521677541,8.295477272727299
forex,NZDUSD,momentum,short,27391,27392,27397,2024-12-06 13:30:00+00:00,2024-12-06 13:45:00+00:00,2024-12-06 15:00:00+00:00,0.58719999,0.58520001,19.99980000000012,17.99980000000012,0.8181727272727328,75,20,2.0,signal,5,107,1.3336317230485502,8.477286363636415
forex,GBPUSD,momentum,short,27398,27399,27525,2024-12-09 07:15:00+00:00,2024-12-09 07:30:00+00:00,2024-12-10 15:00:00+00:00,1.2746,1.2726,20.0,18.0,0.2337662337662337,20,75,2.0,tp,126,75,1.817997977755315,5.253246753246789
futures,NQ,momentum,long,26296,26297,26299,2024-12-09 15:15:00+00:00,2024-12-09 15:30:00+00:00,2024-12-09 16:00:00+00:00,21554.25,21470.75,-334.0,-337.0,-1.0,500,334,3.0,sl,2,59,1.4011641177813283,10.43026706231454
forex,GBPUSD,momentum,short,27531,27532,27600,2024-12-10 16:30:00+00:00,2024-12-10 16:45:00+00:00,2024-12-11 09:45:00+00:00,1.275,1.273,20.0,18.0,0.2337662337662337,20,75,2.0,tp,68,75,1.817997977755315,5.253246753246789
forex,GBPUSD,momentum,short,27656,27657,27700,2024-12-11 23:45:00+00:00,2024-12-12 00:00:00+00:00,2024-12-12 10:45:00+00:00,1.27655,1.27455,20.0,18.0,0.2337662337662337,20,75,2.0,tp,43,75,1.817997977755315,5.253246753246789
futures,NQ,momentum,long,26588,26589,26600,2024-12-12 19:15:00+00:00,2024-12-12 19:30:00+00:00,2024-12-12 23:15:00+00:00,21668.0,21724.5,226.0,223.0,0.6617210682492581,500,334,3.0,signal,11,60,1.3492691504560939,9.43026706231454
futures,NQ,momentum,long,26666,26667,26679,2024-12-13 15:45:00+00:00,2024-12-13 16:00:00+00:00,2024-12-13 19:00:00+00:00,21688.25,21774.0,343.0,340.0,1.0089020771513353,500,334,3.0,signal,12,61,1.3737773381690292,10.091988130563799
forex,GBPUSD,momentum,short,27885,27886,27893,2024-12-16 09:00:00+00:00,2024-12-16 09:15:00+00:00,2024-12-16 11:00:00+00:00,1.2648,1.2645,2.9999999999996696,0.9999999999996696,0.0129870129870086,20,75,2.0,signal,7,75,1.8523761375126417,5.474025974025986
futures,NQ,momentum,long,26875,26876,26920,2024-12-17 23:00:00+00:00,2024-12-17 23:15:00+00:00,2024-12-18 10:15:00+00:00,21943.75,22068.75,500.0,497.0,1.4747774480712166,500,334,3.0,tp,44,62,1.411144081767227,11.100890207715134
forex,GBPUSD,momentum,long,28071,28072,28084,2024-12-18 07:30:00+00:00,2024-12-18 07:45:00+00:00,2024-12-18 10:45:00+00:00,1.2691,1.2707,16.00000000000046,14.000000000000458,0.1818181818181877,20,75,2.0,signal,12,75,2.196407185628745,6.487012987012995
forex,GBPUSD,momentum,long,28096,28097,28111,2024-12-18 13:45:00+00:00,2024-12-18 14:00:00+00:00,2024-12-18 17:30:00+00:00,1.2691,1.2704,13.000000000000789,11.000000000000789,0.1428571428571531,20,75,2.0,signal,14,76,2.2299401197604825,6.668831168831183
